company-card-desktop href,company-name,company-description,CTL Vertical,metadata-value 2,Confirmed Solution,Confirmed Sector,Gemini Drawdown Solution,Gemini Drawdown Sector,Perplexity AI Solution,Perplexity AI Topic,company-card-logo src
https://www.climatetechlist.com/company/dcbel,dcbel,"Dcbel offers AI-driven sustainable technologies which enable people to leverage solar energy to power their cars, homes, and lifestyles.",Built Environment,Series B,,Buildings,,,Distributed Solar Photovoltaics,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fwww.dcbel.energy&w=640&q=75
https://www.climatetechlist.com/company/infogrid,Infogrid,Infogrid is an AI technology company that automates building management.,Built Environment,Series B,,Buildings,Building Automation Systems,,Building Automation Systems,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Finfogrid.io&w=640&q=75
https://www.climatetechlist.com/company/enverid-systems,enVerid Systems,enVerid provides indoor air quality and HVAC energy-saving technologies for commercial buildings.,Built Environment,Series B,,Buildings,Building Retrofitting,,Building Retrofitting,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.enverid.com%2F&w=640&q=75
https://www.climatetechlist.com/company/audio-analytic,Audio Analytic,Audio Analytic provides AI sound recognition technology that makes consumer technology more intelligent.,Built Environment,Series B,,Buildings,,,,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Faudioanalytic.com&w=640&q=75
https://www.climatetechlist.com/company/breezeway,Breezeway,Breezeway is a property care and services platform designed to reduce the headaches of property management.,Built Environment,Series B,,Buildings,,,Buildings,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fbreezeway.io&w=640&q=75
https://www.climatetechlist.com/company/enerbrain,Enerbrain,"Enerbrain turns wasteful buildings into smarter, healthier & more sustainable ones with an innovative IoT energy retrofit solution.",Built Environment,Series B,,Buildings,Building Retrofitting,,Building Automation Systems,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.enerbrain.com%2F&w=640&q=75
https://www.climatetechlist.com/company/hayden-ai,Hayden Ai,We deliver leading edge technology that powers safer and smarter communities.,Built Environment,Series B,,Buildings,,,Transportation,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fhayden.ai&w=640&q=75
https://www.climatetechlist.com/company/homee,Homee,"The leading InsurTech platform for connecting insurers, policyholders and skilled service providers in a property claim.",Built Environment,Series B,,Buildings,,,Buildings,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fhomee.com&w=640&q=75
https://www.climatetechlist.com/company/neoom-ag,Neoom,neoom is a European Cleantech scale-up founded in Austria.,Built Environment,Series B,,Buildings,,,Electricity,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fneoom.com&w=640&q=75
https://www.climatetechlist.com/company/net2grid,Net2grid,Net2Grid offers real-time energy disaggregation.,Built Environment,Series B,,Buildings,,,,Smart Thermostats,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fnet2grid.com&w=640&q=75
